epoch	time	lr	loss	accuracy	linear_loss	bound	kl	C	val_loss	val_accuracy	val_linear_loss
1	3.1439136999833863	0.01	0.4698483566410806	86.29524194345866	0.3616737127304077	0.4909667372703552	75.61384582519531	0.5613114833831787	0.3469171499333731	83.17073170731707	0.2282031178474426
2	2.6217731999931857	0.01	0.2891409453239417	86.94591301929277	0.168505847454071	0.2892771065235138	89.30403900146484	0.6773422956466675	0.3163300256903578	83.17073170731707	0.1931556761264801
3	2.637655700003961	0.01	0.2686086723496876	86.94591297275315	0.1552534699440002	0.2650046050548553	77.25625610351562	0.7009535431861877	0.3031649487774546	83.17073170731707	0.1889262199401855
4	2.7385121999832336	0.01	0.2548972465925073	86.94591305342182	0.1518674939870834	0.2506412267684936	63.29851150512695	0.6640142202377319	0.2903137858321027	83.17073170731707	0.1868311762809753
5	2.9295697000052314	0.01	0.2427171497822002	86.94591305342182	0.1508406102657318	0.2399995774030685	51.58115005493164	0.6105989813804626	0.2786199104495165	83.17073170731707	0.1851129829883575
6	2.910191900009522	0.01	0.2327296227313678	86.94591301929277	0.1481349319219589	0.2325045317411422	46.60768508911133	0.5758101940155029	0.2713540987270634	83.17073170731707	0.1827509105205536
7	2.9679861000040546	0.01	0.2281188007145695	86.94591294793203	0.1454422920942306	0.2290700525045395	46.35478210449219	0.5632741451263428	0.2686810913609295	83.17073170731707	0.1807710528373718
8	2.9096915000118315	0.01	0.2256620696595453	86.94591299447164	0.1438356637954712	0.2275834083557129	46.76072692871094	0.5838758945465088	0.2678185300129216	83.17073170731707	0.1795305162668228
9	2.992730300000403	0.01	0.2251364096738595	86.94591300688221	0.1428493857383728	0.2260039150714874	46.31585311889648	0.5752742290496826	0.2668198509914119	83.17073170731707	0.1790881603956222
10	2.919967699999688	0.01	0.2241626760008472	86.94591300688221	0.1424249112606048	0.2248579114675521	45.564109802246094	0.5720219612121582	0.2658673929005134	83.17073170731707	0.1788371056318283
11	2.8328403999912557	0.01	0.2232459015105012	86.94591300688221	0.1424178034067154	0.2236398607492447	44.18225860595703	0.5602473616600037	0.2647655139609081	83.17073170731707	0.1790020763874054
12	3.260792400018545	0.01	0.2222312987456723	86.94591301929277	0.1424076557159423	0.2225976586341858	42.998626708984375	0.5556274056434631	0.2636576940373676	83.17073170731707	0.1789557486772537
13	2.601325800002087	0.01	0.2211912035542128	86.94591301929277	0.1423793882131576	0.2214637249708175	41.76528549194336	0.5429446697235107	0.262451620654362	83.17073170731707	0.1789469420909881
14	3.0351703999913298	0.01	0.2200014652057894	86.94591300688221	0.1422397643327713	0.2202920019626617	40.63460159301758	0.5366122126579285	0.2613764934423493	83.17073170731707	0.1789218187332153
15	3.025488000013865	0.01	0.2188067158798514	86.94591299447164	0.1422049850225448	0.2191216647624969	39.38014602661133	0.5235106945037842	0.2601041212314512	83.17073170731707	0.1788872331380844
16	2.8195200000191107	0.01	0.2178929720942011	86.94591300688221	0.1425292342901229	0.2183769196271896	38.10558319091797	0.5357356667518616	0.2591599022469869	83.17073170731707	0.1789266616106033
17	2.743044500006363	0.01	0.2164521726494448	86.94591305342182	0.1423356235027313	0.2172243893146515	37.10180282592773	0.5296931266784668	0.2579386152872225	83.17073170731707	0.1787034273147583
18	2.978560399991693	0.01	0.215350115054407	86.94591299447164	0.1422766894102096	0.2158756405115127	35.730735778808594	0.5208101868629456	0.2566944081608842	83.17073170731707	0.1787859797477722
19	2.7162540999997877	0.01	0.2143187036343152	86.94591300688221	0.1420623660087585	0.2146273255348205	34.69577407836914	0.4970594048500061	0.2555555377064681	83.17073170731707	0.1788404881954193
20	2.5714657999924384	0.01	0.2128086230797513	86.94591294793203	0.1421935111284256	0.2135137319564819	33.352054595947266	0.5032951235771179	0.2541410648241275	83.17073170731707	0.1786417663097381
21	2.854932699992787	0.01	0.2118785415252276	86.94591298206107	0.1421051323413849	0.2122960388660431	32.184898376464844	0.4994738101959228	0.2529450082197422	83.17073170731707	0.1785859614610672
22	3.727596799988533	0.01	0.2107097995128511	86.94591301929277	0.14200259745121	0.2109922766685485	30.95816993713379	0.4952699542045593	0.2517113890589737	83.17073170731707	0.1785600483417511
23	3.062892499990994	0.01	0.2092320423220269	86.94591294793203	0.1416407525539398	0.2100936770439148	30.495399475097656	0.4858216643333435	0.2506148326687696	83.17073170731707	0.1780921220779419
24	2.6892528999887872	0.01	0.2082074393267164	86.94591301929277	0.1411942541599273	0.2085937708616256	29.50897789001465	0.4662915170192718	0.2493317726181774	83.17073170731707	0.1779755055904388
25	2.8666497000085656	0.01	0.2076405085117267	86.94591299447164	0.141515627503395	0.2077834159135818	28.320316314697266	0.4745872914791107	0.2482735526270982	83.17073170731707	0.1779978722333908
26	2.874780299986014	0.01	0.2061269514841391	86.94591294793203	0.1411463618278503	0.2069685161113739	27.913183212280277	0.4785924255847931	0.2474406274353585	83.17073170731707	0.17757149040699
