epoch	time	lr	loss	accuracy	linear_loss	bound	kl	C	val_loss	val_accuracy	val_linear_loss
1	3.1878757000085898	0.1	0.0266542022826972	97.73651247451022	0.0266542173922061	1.0	764726.0	17.329999923706055	0.0073151432488421	99.34094903339192	0.0073151439428329
2	3.284970000036992	0.1	0.0101389318570921	99.04406109218768	0.0101389298215508	1.0	1295623.125	17.329999923706055	0.0099826535514452	99.07732864674868	0.0099826538935303
3	3.260667399968952	0.1	0.0142699501964422	98.64850016481704	0.0142699498683214	1.0	1668822.875	17.329999923706055	0.0140212716138635	98.85764499121264	0.0140212699770927
4	3.4094646999728866	0.1	0.0112784558103027	98.95615866388307	0.011278455145657	1.0	2067597.75	17.329999923706055	0.011390425238647	99.12126537785588	0.0113904261961579
5	3.5671965000219643	0.1	0.0102785235937473	99.08801230633996	0.010278521105647	1.0	2320405.75	17.329999923706055	0.0078015223878758	99.2530755711775	0.0078015220351517
6	3.552681399974972	0.1	0.0089038433563367	99.1539391275684	0.0089038414880633	1.0	2466527.75	17.329999923706055	0.0116132233678142	98.85764499121264	0.0116132237017154
7	3.4885583999566734	0.1	0.0083106171592305	99.2528293719856	0.0083106132224202	1.0	2891355.75	17.329999923706055	0.0072346909105882	99.34094903339192	0.0072346925735473
8	3.3742590000038035	0.05	0.0053343898142422	99.54950005493902	0.0053343893960118	1.0	2964062.25	17.329999923706055	0.0055738100634727	99.47275922671352	0.0055738105438649
9	3.391462399973534	0.05	0.0046726316884905	99.56048785847707	0.0046726306900382	1.0	3015954.25	17.329999923706055	0.0056242273305338	99.42882249560633	0.0056242272257804
10	3.3668932000291534	0.05	0.0046072235580015	99.53851225140096	0.0046072234399616	1.0	3088937.75	17.329999923706055	0.0059498838674414	99.38488576449912	0.0059498841874301
11	3.4354301000130363	0.05	0.0040284673429664	99.62641467970552	0.0040284665301442	1.0	3167957.25	17.329999923706055	0.0051726908774912	99.47275922671352	0.0051726903766393
12	3.42508389998693	0.05	0.003588902404735	99.65937809031976	0.0035889020655304	1.0	3199707.25	17.329999923706055	0.0057806887112309	99.47275922671352	0.0057806894183158
13	3.288102100021206	0.05	0.0038773940626231	99.64839028678168	0.0038773943670094	1.0	3276319.75	17.329999923706055	0.009104753001503	99.16520210896309	0.0091047519817948
14	3.2514883000403643	0.05	0.0039694702025364	99.61542687616743	0.00396947003901	1.0	3362308.25	17.329999923706055	0.0046101924038519	99.51669595782074	0.0046101929619908
15	3.290878400031943	0.05	0.003874059428017	99.62641467970552	0.003874059068039	1.0	3440533.0	17.329999923706055	0.0053648719521524	99.51669595782074	0.0053648715838789
16	3.3720095999888144	0.05	0.0034518720140667	99.68135369739588	0.003451872151345	1.0	3484580.25	17.329999923706055	0.0060705696551787	99.47275922671352	0.0060705700889229
17	3.473969599988777	0.05	0.0074374028783934	99.3187561806395	0.0074374019168317	1.0	3592021.75	17.329999923706055	0.0057562280230237	99.47275922671352	0.005756227299571
18	3.32069959997898	0.05	0.0039760200905414	99.6593781028943	0.0039760200306773	1.0	3680363.5	17.329999923706055	0.0038338063288028	99.60456942003516	0.0038338063750416
19	3.3998657999909483	0.05	0.0035288752978774	99.67036589385782	0.0035288748331367	1.0	3736272.5	17.329999923706055	0.0043104329851893	99.60456942003516	0.0043104332871735
20	3.4452897000010125	0.05	0.0031807631133035	99.7143171080101	0.0031807634513825	1.0	3828214.0	17.329999923706055	0.0041849376839996	99.64850615114236	0.004184937570244
21	3.677567299979273	0.05	0.0030195883552709	99.72530491154818	0.0030195887666195	1.0	3928829.5	17.329999923706055	0.0044450319661825	99.56063268892794	0.0044450326822698
22	3.5434309000265785	0.05	0.0031095515429456	99.70332930447204	0.0031095508020371	1.0	3949695.25	17.329999923706055	0.0047084008243674	99.56063268892794	0.0047084013931453
23	3.515052100003232	0.05	0.003198601668149	99.7143171080101	0.0031986020039767	1.0	3988457.5	17.329999923706055	0.0048333568816025	99.56063268892794	0.0048333569429814
24	3.532658400014043	0.05	0.0029488211345599	99.73629271508624	0.0029488212894648	1.0	4117977.5	17.329999923706055	0.004953232232108	99.51669595782074	0.0049532321281731
25	3.5050734999822453	0.025	0.0028230723031679	99.73629271508624	0.0028230722527951	1.0	4135664.75	17.329999923706055	0.0044606326439259	99.56063268892794	0.0044606328010559
26	3.421859299996868	0.025	0.0027697750852993	99.74728051862432	0.0027697749901562	1.0	4147082.0	17.329999923706055	0.0047196662724541	99.51669595782074	0.0047196662053465
27	3.394714100053534	0.025	0.0027429739985671	99.73629271508624	0.002742973389104	1.0	4141599.5	17.329999923706055	0.0047323961590002	99.56063268892794	0.0047323959879577
28	3.4457507000188343	0.025	0.0047148725099989	99.54950005493902	0.0047148736193776	1.0	4210264.0	17.329999923706055	0.0087970319631229	99.12126537785588	0.0087970308959484
29	3.3263824000023305	0.025	0.0049543368981416	99.5165366443248	0.0049543362110853	1.0	4232137.5	17.329999923706055	0.0079149365529863	99.16520210896309	0.0079149361699819
30	3.4269156000227667	0.025	0.004128094276743	99.58246346555325	0.0041280938312411	1.0	4229072.5	17.329999923706055	0.00652495528095	99.34094903339192	0.0065249553881585
31	3.629090400005225	0.0125	0.003765238052953	99.62641469228006	0.0037652377504855	1.0	4231549.0	17.329999923706055	0.0057313459776407	99.47275922671352	0.0057313460856676
32	3.405359699972905	0.0125	0.0031901685212578	99.70332930447204	0.0031901686452329	1.0	4240365.0	17.329999923706055	0.0054719379083343	99.51669595782074	0.0054719373583793
