epoch	time	lr	loss	accuracy	linear_loss	bound	kl	C	val_loss	val_accuracy	val_linear_loss
1	22.451005499984603	0.1	0.1868674918752923	81.53835654877068	0.1868675202131271	0.6395300626754761	12637.6298828125	2.039999961853028	0.1682678326034962	83.17183019826271	0.1682677865028381
2	22.165228499972727	0.1	0.1596518712366925	84.22058422891553	0.1596517860889434	0.639094352722168	14315.4228515625	2.2300000190734863	0.1585669420406342	84.08625629040299	0.1585669517517089
3	22.126716000027955	0.1	0.1582397607374054	84.26153427611405	0.1582397222518921	0.6579307913780212	15595.5146484375	2.3299999237060547	0.1589620776979858	84.29097855053675	0.158962070941925
4	22.197362400009297	0.1	0.1559320796009559	84.47652199110176	0.1559321731328964	0.6684049963951111	16450.4375	2.390000104904175	0.1640465944675952	83.67681177013549	0.1640466153621673
5	22.27580260002287	0.1	0.1556259089098938	84.56865958115652	0.1556259244680404	0.6613147854804993	15997.03515625	2.359999895095825	0.1570985729101818	84.35921930703847	0.1570985615253448
6	22.310530200018547	0.1	0.1532083519521125	84.90990991407557	0.1532084345817566	0.6474295854568481	15263.1298828125	2.319999933242798	0.1579545608289378	84.29097855053675	0.1579545736312866
7	22.32763499999419	0.1	0.1531551399705776	84.88260989718967	0.1531551629304886	0.6470754146575928	15244.279296875	2.319999933242798	0.1529456947898253	84.75501570266218	0.1529457122087478
8	22.348547099973075	0.1	0.152362736406269	84.89625991083969	0.1523627936840057	0.6538791656494141	15734.970703125	2.3499999046325684	0.1593589801364174	84.20908964648324	0.1593589633703231
9	22.366579700028524	0.1	0.1509103950112041	85.14878515919928	0.150910347700119	0.6472256779670715	15406.7744140625	2.3299999237060547	0.1532149517907929	84.70042307080425	0.1532149612903595
10	22.358623799984343	0.1	0.1507669675717938	85.1692601796743	0.1507669687271118	0.6487430334091187	15513.537109375	2.3399999141693115	0.156697032165524	84.59123786539958	0.1566970646381378
11	22.40262509998865	0.1	0.1503403865466051	85.17267268725246	0.1503403782844543	0.6522988080978394	15772.0966796875	2.359999895095825	0.154941468946895	84.72771937527922	0.1549414545297622
12	22.45099990000017	0.1	0.149951343531658	85.14537265162113	0.1499513983726501	0.6487315893173218	15568.859375	2.3499999046325684	0.1504320673257116	85.15081204934613	0.1504320502281189
13	22.446952899976168	0.1	0.149892648166885	85.30234781067911	0.1498926132917404	0.654596745967865	15952.7998046875	2.369999885559082	0.1549753262683641	84.65947862502513	0.1549753248691558
14	22.50743110000621	0.1	0.1488334061610969	85.42519792936358	0.1488334536552429	0.655047595500946	16056.205078125	2.380000114440918	0.1553307486004274	84.59123786539958	0.1553307473659515
15	22.49585010000737	0.1	0.1483397657123381	85.4115479261277	0.1483397036790847	0.6557440757751465	16136.5947265625	2.390000104904175	0.1523569846411136	85.05527499774085	0.1523570269346237
16	22.462214400002267	0.1	0.1485238297492339	85.4149604295402	0.1485238522291183	0.6555560231208801	16111.3251953125	2.390000104904175	0.1506713955284743	85.13716389242292	0.150671437382698
17	22.477140600036364	0.1	0.1479489645800433	85.47979799646059	0.1479489654302597	0.664645791053772	16759.638671875	2.440000057220459	0.1523245429177555	85.00068238879089	0.1523245275020599
18	22.458617600030266	0.1	0.147687999889104	85.54463555296685	0.1476879715919494	0.6626828908920288	16645.33984375	2.430000066757202	0.1535397610467339	85.02797869014206	0.1535398066043853
19	22.474131599999964	0.05	0.1440891358424756	86.01214852881112	0.1440890878438949	0.6105968952178955	13647.072265625	2.2300000190734863	0.1509910334733949	85.17810834757348	0.1509910225868225
20	22.541864400031045	0.05	0.1429613351988688	86.09063610313305	0.1429612934589386	0.5992082357406616	13075.859375	2.190000057220459	0.1494713337779029	85.50566396378748	0.1494713127613067
21	22.54901989997597	0.05	0.1424407163238772	86.2100737246535	0.1424407213926315	0.5941346287727356	12828.7119140625	2.180000066757202	0.1507442155325414	85.24634909782759	0.1507442444562912
22	22.55962950002868	0.05	0.142215786934501	86.20666121707534	0.1422157436609268	0.5930321216583252	12782.6171875	2.1700000762939453	0.1507836664025611	85.36918246327927	0.1507837176322937
23	22.55485319998116	0.05	0.1423334862783636	86.20324871991131	0.1423334628343582	0.5938500165939331	12819.927734375	2.180000066757202	0.1507672332242483	85.19175649824906	0.1507672667503357
24	22.568179699999742	0.05	0.1417313756844791	86.30562380978945	0.1417313814163208	0.5908406972885132	12693.8203125	2.1700000762939453	0.1508603421914003	85.38283060770723	0.1508603394031524
25	22.60959119995823	0.05	0.1412944572563546	86.4114114259912	0.141294464468956	0.5907357335090637	12715.8896484375	2.1700000762939453	0.150538747551351	85.19175649824906	0.150538757443428
26	22.61365890002344	0.05	0.1414773401148554	86.32268633518328	0.141477346420288	0.5928168296813965	12817.9287109375	2.180000066757202	0.1489106046054443	85.30094170052992	0.1489105820655822
27	22.53674790001241	0.05	0.1411950530277358	86.32951133992546	0.141195073723793	0.5917417407035828	12777.09765625	2.180000066757202	0.1504581100731311	85.39647876150663	0.1504581272602081
28	22.558435300015844	0.05	0.1406877701509659	86.4898989982303	0.1406877636909485	0.5943922400474548	12955.0908203125	2.190000057220459	0.1501741359068554	85.13716389554673	0.1501741409301757
29	22.532957000017632	0.05	0.1411127771326924	86.39434890892868	0.1411127299070358	0.5955270528793335	12990.4365234375	2.190000057220459	0.1513771779120367	85.23270095027581	0.1513771712779998
30	22.54911429999629	0.05	0.1404376795447787	86.51037402703662	0.1404376775026321	0.5968156456947327	13105.3427734375	2.200000047683716	0.1497286778119799	85.54660841581423	0.1497287005186081
