epoch	time	lr	loss	accuracy	val_loss	val_accuracy
1	1.8913575999904424	0.01	0.013711482214411593	98.57158554005055	0.007113574233122157	99.29701230228471
2	1.712606000015512	0.01	0.010492450656399414	98.96714646742116	0.010592219018768553	98.94551845342707
3	1.8663092000060715	0.01	0.009433868517261091	99.06603669926382	0.00801307266751576	99.2091388400703
4	1.8963137999526225	0.01	0.007958747969657664	99.20887814525877	0.007213132112223151	99.29701230228471
5	2.147276600007899	0.01	0.00748109751357546	99.25282935941105	0.011305428727125661	98.85764499121265
6	1.975623500009533	0.01	0.00978057789692524	99.01109768157346	0.007714900117766878	99.2091388400703
7	2.0227289999602363	0.01	0.006672692566916859	99.3297439967521	0.006011984980483466	99.42882249560633
8	2.0960851999698207	0.01	0.0077113909009341	99.23085375233491	0.005901663853853993	99.42882249560633
9	2.100739099958446	0.01	0.004770701396021263	99.5165366443248	0.007651410865972247	99.2091388400703
10	1.9917806999874301	0.01	0.006486522975878039	99.35171959125371	0.006997329606846472	99.29701230228471
11	1.95211409998592	0.01	0.009483166660349285	99.06603669926382	0.011147782193441173	98.85764499121265
12	1.9836473999894224	0.01	0.007044129637673246	99.29678057356334	0.007665203213167945	99.2530755711775
13	2.0747883999720216	0.01	0.008330988642960089	99.16492693110648	0.006563217953659319	99.34094903339192
14	2.1394740999676287	0.01	0.005508020200934755	99.43962201955829	0.005894812318268895	99.38488576449912
15	2.121154899999965	0.005	0.004511938879298923	99.54950005493902	0.007013169436442202	99.29701230228471
16	2.1663664000225253	0.005	0.004977709172178318	99.50554884078673	0.005638158475891777	99.42882249560633
17	2.1955762000288814	0.005	0.005185458938075619	99.47258543017251	0.006131149343949839	99.38488576449912
18	2.177268000028562	0.005	0.004616446290425109	99.53851226397549	0.005254775390474155	99.47275922671353
19	2.1831476000370458	0.005	0.003257124803967691	99.67036589385782	0.006886567246096834	99.29701230228471
20	2.179347599972971	0.005	0.0036241864748098552	99.6374024832436	0.006990551097426557	99.29701230228471
21	2.139213100017514	0.005	0.0035334410064627266	99.64839028678168	0.004423483106289681	99.56063268892794
22	2.008304200018756	0.005	0.003125856949881975	99.69234150093396	0.005338739466269113	99.47275922671353
23	2.0278149000369012	0.005	0.003237089928316947	99.68135369739589	0.0053422365121556506	99.47275922671353
24	2.0318541000015102	0.005	0.0030204910601171796	99.69234150093396	0.005195330952822848	99.47275922671353
25	2.046545299992431	0.005	0.0029895737032067213	99.69234150093396	0.006943388188974719	99.29701230228471
26	2.125188000034541	0.005	0.0033298698333236836	99.67036589385782	0.005188529908342814	99.47275922671353
27	2.102496700012125	0.005	0.0029211606170931777	99.7143171080101	0.004833632461425499	99.51669595782074
28	2.062179800006561	0.0025	0.0029253209276443497	99.70332930447204	0.005238015302874292	99.47275922671353
29	2.0451322000008076	0.0025	0.002849323112825	99.72530491154818	0.0061517892591982605	99.38488576449912
30	2.022568699961994	0.0025	0.002584529216440677	99.74728051862432	0.005269720495689942	99.47275922671353
31	2.012793700036127	0.0025	0.00244368917797178	99.7582683221624	0.005683508130389483	99.42882249560633
32	2.040647799964063	0.0025	0.0024222106006745125	99.7582683221624	0.005268295418294326	99.47275922671353
33	2.0621956000104547	0.0025	0.0023832508147830374	99.7582683221624	0.004684668289651351	99.56063268892794
34	1.975819399987813	0.00125	0.0020576859290698584	99.79123173277662	0.005235318428393198	99.47275922671353
35	1.9695620000129566	0.00125	0.002110627156380126	99.79123173277662	0.004470802293615727	99.56063268892794
36	2.0468156000133604	0.00125	0.0019596591812871913	99.8022195363147	0.005110187721168639	99.47275922671353
37	2.007279799960088	0.00125	0.0019997243088243455	99.8022195363147	0.0052663944858029775	99.47275922671353
38	2.0297309000161476	0.00125	0.001868061067219449	99.81320733985277	0.005266315855334639	99.47275922671353
39	1.981225399998948	0.00125	0.0018680332951618542	99.81320733985277	0.005266224314018377	99.47275922671353
40	1.8880214000237174	0.000625	0.0018680172429715077	99.81320733985277	0.0052661698684751046	99.47275922671353
41	1.996685499965679	0.000625	0.0018680104317605895	99.81320733985277	0.005266107330737089	99.47275922671353
42	2.0131008999887854	0.000625	0.0018680040331518712	99.81320733985277	0.005266095572175796	99.47275922671353
