epoch	time	lr	loss	accuracy	linear_loss	bound	kl	C
1	1.8819305999786595	0.1	0.0150842179489255	99.4549929676512	0.0058730454184114	0.0155056435614824	14.39674186706543	1.0970947742462158
2	1.9510279999813065	0.1	0.0148077667084995	99.41983122362868	0.0059051029384136	0.0122669748961925	2.81235408782959	0.982014775276184
3	1.898056700010784	0.1	0.0144467453024338	99.36708860759494	0.0060402136296033	0.0149262063205242	10.248619079589844	1.217384934425354
4	1.919391400006134	0.1	0.0158011698204652	99.40225035161744	0.0064156339503824	0.0176884867250919	18.44001579284668	0.7967648506164551
5	1.8705589000019245	0.1	0.0145255943037223	99.47257383966245	0.006038099527359	0.0205528195947408	32.55091857910156	1.0673301219940186
6	1.9036052000010384	0.1	0.0152879454471883	99.50773558368496	0.0056546842679381	0.0120426975190639	3.7895100116729736	0.9109132885932922
7	1.9177722000167703	0.1	0.0143716017192991	99.4549929676512	0.0058788950555026	0.0133424364030361	6.926948070526123	0.7027670741081238
8	1.8395825999905355	0.1	0.014750959604465	99.4901547116737	0.0058222855441272	0.0169586911797523	19.956512451171875	0.9424201250076294
9	1.932676199998241	0.1	0.0148773960292381	99.43741209563994	0.0062177055515348	0.0136307207867503	5.711538791656494	1.0191552639007568
10	1.9103726000175807	0.1	0.0142617740965698	99.50773558368496	0.0054408642463386	0.0186549760401248	27.80205726623535	0.928796648979187
11	1.8736079999944195	0.1	0.0140598427285551	99.41983122362868	0.0058150901459157	0.0147457728162407	11.822271347045898	0.7845818996429443
12	1.8835749000427315	0.1	0.0140930290350955	99.43741210637046	0.0059834639541804	0.0145406192168593	10.280499458312988	1.048379898071289
13	1.9102079999865964	0.05	0.0125298470614999	99.43741210637046	0.0058133355341851	0.0119277695193886	1.7655781507492063	1.0249261856079102
14	1.8738689000019804	0.05	0.0123263443512357	99.47257383966245	0.0056326035410165	0.011797159910202	3.474555969238281	0.7372773885726929
15	1.9317780999699607	0.05	0.0122519517671081	99.4549929676512	0.0058696521446108	0.0127663519233465	5.339452743530273	0.7190471291542053
16	1.9105686000548303	0.05	0.0125837140689104	99.4549929676512	0.0056187724694609	0.0121044507250189	4.2945332527160645	0.6702625155448914
17	1.9012030999874696	0.05	0.0118552057528357	99.4901547116737	0.0055365106090903	0.0130999786779284	8.034225463867188	0.8359155654907227
18	1.946533799986355	0.05	0.0127632764578075	99.41983122362868	0.0057446737773716	0.0130955809727311	6.750193595886231	0.9656745791435242
19	1.9978112999815492	0.05	0.0127214449192574	99.43741209563994	0.0059531950391829	0.0121531998738646	3.05016565322876	0.8151651620864868
20	1.995386100024916	0.05	0.0123441456902232	99.41983122362868	0.0059435646981	0.0127817336469888	5.031214714050293	0.6963236927986145
21	1.986140900000464	0.025	0.0116172170059548	99.43741209563994	0.0058415811508893	0.0118526667356491	2.733385801315308	0.7631334066390991
22	1.892986099992413	0.025	0.0115719458527742	99.47257383966245	0.0056545003317296	0.0112681863829493	1.8223674297332764	0.7194473743438721
23	1.8461378999636509	0.025	0.0115241743388432	99.47257385039296	0.0057004285044968	0.0114040216431021	1.9456020593643188	0.7766540050506592
24	1.9047967999940736	0.025	0.0116709516840199	99.41983122362868	0.0058431401848793	0.0116802658885717	2.23990249633789	0.6580770611763
25	1.839798700006213	0.025	0.0114859741304918	99.4549929676512	0.0057857730425894	0.0113231875002384	1.4725147485733032	0.690751850605011
26	1.8950933000305668	0.025	0.0116600765032581	99.40225035161744	0.0058057382702827	0.0114261284470558	1.63726806640625	0.7392727732658386
27	1.9063310000346971	0.025	0.0115087002282634	99.43741209563994	0.0057392241433262	0.0113803558051586	1.7821191549301147	0.7380809187889099
28	1.8228890000027604	0.025	0.0115623083764637	99.4901547116737	0.0057009058073163	0.0115820709615945	2.544785499572754	0.69056236743927
29	1.9020970999845304	0.0125	0.0111717130719001	99.4549929676512	0.0057647000066936	0.0113769387826323	1.7066274881362915	0.673160195350647
30	1.8963337000459437	0.0125	0.0110683812862642	99.47257383966245	0.0055587235838174	0.0107053713873028	0.6133036613464355	0.6750479936599731
31	1.9034284999943336	0.0125	0.011102725421609	99.43741210637046	0.0057505466975271	0.0112261828035116	1.3384814262390137	0.6719857454299927
